sentence_id,words,labels
160,2016-3-6,B-TIM
161,1999-5-28,B-TIM
162,2006-6-23,B-TIM
163,1989-2-31,B-TIM
164,1999-6-2,B-TIM
165,2009-7-17,B-TIM
166,1982-1-21,B-TIM
167,1990-12-21,B-TIM
168,1988-4-27,B-TIM
169,1996-1-24,B-TIM
170,2001-7-17,B-TIM
171,2012-2-8,B-TIM
172,1993-12-12,B-TIM
173,2009-6-8,B-TIM
174,1984-1-14,B-TIM
175,2007-8-16,B-TIM
176,1990-10-19,B-TIM
177,1987-2-19,B-TIM
178,1981-2-28,B-TIM
179,2016-3-23,B-TIM
180,2002-4-22,B-TIM
181,2017-11-10,B-TIM
182,2003-7-29,B-TIM
183,1988-11-11,B-TIM
184,1992-1-12,B-TIM
185,1997-3-5,B-TIM
186,2002-11-9,B-TIM
187,2003-9-30,B-TIM
188,2005-12-7,B-TIM
189,2003-4-18,B-TIM
190,1996-8-25,B-TIM
191,2014-4-10,B-TIM
192,2017-10-17,B-TIM
193,2012-4-31,B-TIM
194,2007-10-11,B-TIM
195,2009-7-31,B-TIM
196,2001-1-28,B-TIM
197,2007-10-20,B-TIM
198,2002-1-31,B-TIM
199,2018-7-29,B-TIM
200,2005-4-11,B-TIM
201,1988-6-13,B-TIM
202,2014-4-8,B-TIM
203,1995-2-8,B-TIM
204,2019-3-11,B-TIM
205,2006-9-22,B-TIM
206,2007-6-10,B-TIM
207,2010-8-23,B-TIM
208,2011-8-2,B-TIM
209,2017-4-31,B-TIM
210,2017-10-6,B-TIM
211,2001-3-1,B-TIM
212,1986-2-10,B-TIM
213,1984-9-1,B-TIM
214,1986-6-28,B-TIM
215,2004-9-13,B-TIM
216,2008-9-20,B-TIM
217,2012-12-12,B-TIM
218,1999-9-17,B-TIM
219,1991-4-3,B-TIM
220,1992-5-12,B-TIM
221,1998-10-24,B-TIM
222,1995-10-4,B-TIM
223,1991-8-16,B-TIM
224,2002-2-13,B-TIM
225,2019-8-13,B-TIM
226,1998-7-5,B-TIM
227,1988-2-25,B-TIM
228,1987-11-1,B-TIM
229,1991-5-15,B-TIM
230,2016-6-6,B-TIM
231,2005-3-27,B-TIM
232,1989-3-9,B-TIM
233,2017-12-19,B-TIM
234,2011-12-18,B-TIM
235,2011-7-19,B-TIM
236,2013-12-11,B-TIM
237,1992-6-15,B-TIM
238,2002-5-3,B-TIM
239,2019-10-3,B-TIM
240,2010-11-12,B-TIM
241,1998-12-6,B-TIM
242,1995-8-29,B-TIM
243,2010-10-7,B-TIM
244,1994-10-23,B-TIM
245,2008-10-11,B-TIM
246,2003-8-3,B-TIM
247,1983-4-20,B-TIM
248,2010-3-5,B-TIM
249,2019-7-20,B-TIM
250,2012-12-21,B-TIM
251,1994-7-13,B-TIM
252,1986-2-25,B-TIM
253,2008-8-11,B-TIM
254,2005-3-28,B-TIM
255,1981-9-6,B-TIM
256,1982-7-20,B-TIM
257,2009-8-22,B-TIM
258,1997-10-29,B-TIM
259,2013-6-18,B-TIM
260,2010-6-26,B-TIM
261,2006-6-1,B-TIM
262,2003-5-10,B-TIM
263,2008-12-22,B-TIM
264,1981-11-24,B-TIM
265,2010-4-10,B-TIM
266,2015-5-16,B-TIM
267,1997-2-20,B-TIM
268,1992-7-8,B-TIM
269,1999-12-8,B-TIM
270,1981-4-24,B-TIM
271,2002-11-23,B-TIM
272,1981-4-13,B-TIM
273,2013-7-8,B-TIM
274,1981-10-19,B-TIM
275,2007-11-6,B-TIM
276,1985-3-22,B-TIM
277,1985-7-23,B-TIM
278,1985-1-8,B-TIM
279,1989-7-27,B-TIM
280,2009-5-18,B-TIM
281,1996-9-25,B-TIM
282,2005-10-3,B-TIM
283,2001-9-17,B-TIM
284,1980-10-24,B-TIM
285,1988-4-3,B-TIM
286,2005-9-29,B-TIM
287,2003-8-23,B-TIM
288,2015-5-3,B-TIM
289,1982-4-31,B-TIM
290,2013-5-3,B-TIM
291,2000-3-20,B-TIM
292,2014-11-8,B-TIM
293,2011-1-9,B-TIM
294,2016-11-16,B-TIM
295,2014-8-27,B-TIM
296,1993-4-28,B-TIM
297,1982-3-1,B-TIM
298,2016-6-10,B-TIM
299,2007-5-27,B-TIM
300,1985-9-17,B-TIM
301,1990-7-25,B-TIM
302,2007-12-16,B-TIM
303,2005-5-7,B-TIM
304,2005-4-27,B-TIM
305,1999-6-3,B-TIM
306,2000-1-29,B-TIM
307,2008-9-11,B-TIM
308,1985-7-2,B-TIM
309,2012-12-8,B-TIM
310,2001-6-29,B-TIM
311,2005-9-23,B-TIM
312,2017-4-1,B-TIM
313,2014-6-29,B-TIM
314,1986-4-18,B-TIM
315,1997-2-23,B-TIM
316,2006-4-22,B-TIM
317,1998-7-10,B-TIM
318,1993-11-19,B-TIM
319,2019-8-30,B-TIM
320,1999-4-3,B-TIM
321,1982-3-17,B-TIM
322,1990-7-18,B-TIM
323,2004-11-1,B-TIM
324,1986-2-24,B-TIM
325,2011-6-23,B-TIM
326,2010-9-17,B-TIM
327,1986-11-7,B-TIM
328,1996-7-7,B-TIM
329,1992-6-15,B-TIM
330,2003-7-26,B-TIM
331,2019-5-31,B-TIM
332,1994-8-13,B-TIM
333,2008-2-2,B-TIM
334,1987-9-11,B-TIM
335,1989-5-25,B-TIM
336,1994-4-26,B-TIM
337,1985-1-6,B-TIM
338,2015-1-24,B-TIM
339,2007-5-10,B-TIM
340,1984-2-2,B-TIM
341,1985-8-3,B-TIM
342,2018-3-21,B-TIM
343,1999-1-15,B-TIM
344,2011-7-26,B-TIM
345,1981-3-7,B-TIM
346,1982-8-7,B-TIM
347,1989-1-18,B-TIM
348,1982-3-3,B-TIM
349,2018-5-7,B-TIM
350,2018-2-25,B-TIM
351,2011-8-3,B-TIM
352,2008-5-26,B-TIM
353,2001-7-9,B-TIM
354,1998-9-22,B-TIM
355,1980-3-25,B-TIM
356,2020-6-29,B-TIM
357,1987-7-6,B-TIM
358,1988-1-30,B-TIM
359,2018-6-21,B-TIM
360,2001-2-23,B-TIM
361,2010-10-12,B-TIM
362,2016-2-6,B-TIM
363,1981-5-30,B-TIM
364,1984-9-20,B-TIM
365,2008-8-8,B-TIM
366,2009-9-19,B-TIM
367,2020-1-17,B-TIM
368,2003-4-28,B-TIM
369,1998-2-19,B-TIM
370,2007-5-23,B-TIM
371,2019-8-27,B-TIM
372,1996-4-17,B-TIM
373,2009-4-18,B-TIM
374,2014-9-28,B-TIM
375,2014-11-13,B-TIM
376,2012-12-6,B-TIM
377,1984-5-31,B-TIM
378,1991-12-8,B-TIM
379,1996-11-9,B-TIM
380,1992-4-13,B-TIM
381,1982-3-9,B-TIM
382,1982-11-14,B-TIM
383,2009-7-11,B-TIM
384,2009-7-2,B-TIM
385,1996-12-5,B-TIM
386,2006-4-25,B-TIM
387,1989-8-31,B-TIM
388,2001-11-14,B-TIM
389,1996-10-12,B-TIM
390,2006-10-11,B-TIM
391,2018-7-15,B-TIM
392,2003-8-26,B-TIM
393,2013-12-13,B-TIM
394,2006-11-13,B-TIM
395,2003-5-13,B-TIM
396,1986-5-5,B-TIM
397,1998-1-10,B-TIM
398,2004-5-10,B-TIM
399,2006-12-16,B-TIM
400,1984-9-8,B-TIM
401,1989-8-3,B-TIM
402,2018-12-22,B-TIM
403,2018-5-12,B-TIM
404,1996-4-18,B-TIM
405,2014-12-26,B-TIM
406,2007-2-25,B-TIM
407,1995-9-12,B-TIM
408,1992-6-22,B-TIM
409,2015-12-10,B-TIM
410,1999-3-9,B-TIM
411,1996-3-7,B-TIM
412,2017-6-24,B-TIM
413,2018-10-14,B-TIM
414,1991-6-22,B-TIM
415,1986-11-14,B-TIM
416,1986-9-4,B-TIM
417,1991-5-18,B-TIM
418,2003-8-12,B-TIM
419,2015-9-8,B-TIM
420,2000-10-15,B-TIM
421,1982-11-16,B-TIM
422,1991-9-4,B-TIM
423,1991-8-5,B-TIM
424,1995-2-24,B-TIM
425,2011-7-15,B-TIM
426,2018-10-27,B-TIM
427,1981-4-21,B-TIM
428,2017-5-23,B-TIM
429,1985-6-1,B-TIM
430,1983-2-15,B-TIM
431,2005-4-28,B-TIM
432,1996-5-27,B-TIM
433,1999-8-3,B-TIM
434,1989-3-3,B-TIM
435,1985-11-9,B-TIM
436,1993-5-9,B-TIM
437,1982-10-25,B-TIM
438,2007-3-19,B-TIM
439,2012-1-22,B-TIM
440,2004-6-20,B-TIM
441,2015-10-23,B-TIM
442,1994-1-27,B-TIM
443,1990-6-8,B-TIM
444,1991-8-27,B-TIM
445,1997-9-11,B-TIM
446,2010-7-20,B-TIM
447,1984-10-14,B-TIM
448,2009-11-2,B-TIM
449,1999-6-5,B-TIM
450,1996-4-24,B-TIM
451,1995-2-10,B-TIM
452,1984-5-27,B-TIM
453,2007-9-20,B-TIM
454,2013-6-24,B-TIM
455,1985-6-15,B-TIM
456,2019-1-7,B-TIM
457,2014-11-14,B-TIM
458,2006-6-15,B-TIM
459,1989-2-1,B-TIM
460,1980-3-9,B-TIM
461,1983-12-3,B-TIM
462,1980-12-12,B-TIM
463,2016-8-19,B-TIM
464,2015-4-19,B-TIM
465,1999-5-26,B-TIM
466,1995-4-30,B-TIM
467,1996-1-27,B-TIM
468,1988-10-26,B-TIM
469,2004-4-4,B-TIM
470,2013-9-29,B-TIM
471,1981-6-12,B-TIM
472,1999-1-7,B-TIM
473,1984-5-1,B-TIM
474,1984-12-10,B-TIM
475,1999-1-15,B-TIM
476,1992-5-15,B-TIM
477,1983-8-5,B-TIM
478,2019-8-17,B-TIM
479,2000-4-9,B-TIM
480,1990-2-5,B-TIM
481,2011-12-9,B-TIM
482,2015-6-17,B-TIM
483,2004-6-13,B-TIM
484,2007-11-26,B-TIM
485,2006-2-15,B-TIM
486,2004-12-1,B-TIM
487,2007-5-22,B-TIM
488,2018-5-1,B-TIM
489,2013-4-16,B-TIM
490,2009-10-22,B-TIM
491,2011-8-15,B-TIM
492,2004-11-12,B-TIM
493,1981-11-11,B-TIM
494,2006-11-18,B-TIM
495,2017-4-19,B-TIM
496,2009-6-31,B-TIM
497,1996-5-12,B-TIM
498,1995-2-6,B-TIM
499,2009-2-9,B-TIM
500,2014-10-1,B-TIM
501,1994-5-24,B-TIM
502,1983-1-1,B-TIM
503,2003-6-15,B-TIM
504,2016-6-7,B-TIM
505,1987-1-2,B-TIM
506,1981-10-15,B-TIM
507,2002-6-30,B-TIM
508,1996-8-30,B-TIM
509,1988-6-12,B-TIM
510,2011-9-3,B-TIM
511,2005-5-26,B-TIM
512,2001-1-19,B-TIM
513,1985-5-18,B-TIM
514,1983-7-15,B-TIM
515,1993-7-16,B-TIM
516,2010-11-18,B-TIM
517,2001-7-30,B-TIM
518,2016-3-12,B-TIM
519,2005-4-13,B-TIM
520,2005-5-4,B-TIM
521,2010-1-30,B-TIM
522,1981-5-24,B-TIM
523,1997-5-14,B-TIM
524,1997-1-2,B-TIM
525,1986-10-27,B-TIM
526,2017-8-28,B-TIM
527,2020-5-9,B-TIM
528,2020-4-2,B-TIM
529,1992-2-25,B-TIM
530,2014-11-5,B-TIM
531,2013-9-13,B-TIM
532,1997-2-22,B-TIM
533,1995-5-27,B-TIM
534,1985-6-19,B-TIM
535,2009-1-12,B-TIM
536,1990-1-3,B-TIM
537,2004-9-4,B-TIM
538,2019-10-13,B-TIM
539,2001-3-9,B-TIM
540,2006-12-7,B-TIM
541,2008-5-15,B-TIM
542,1982-10-31,B-TIM
543,2013-11-25,B-TIM
544,1982-12-31,B-TIM
545,1992-10-4,B-TIM
546,2008-12-13,B-TIM
547,2019-12-10,B-TIM
548,1981-9-15,B-TIM
549,1993-12-8,B-TIM
550,2019-1-27,B-TIM
551,1998-6-15,B-TIM
552,1986-3-30,B-TIM
553,2015-10-21,B-TIM
554,1986-8-22,B-TIM
555,1988-10-2,B-TIM
556,2005-9-16,B-TIM
557,1996-6-25,B-TIM
558,2019-11-6,B-TIM
559,1997-10-30,B-TIM
560,1987-3-3,B-TIM
561,1985-9-26,B-TIM
562,2012-8-16,B-TIM
563,2016-11-16,B-TIM
564,1986-12-11,B-TIM
565,2010-1-7,B-TIM
566,1988-6-18,B-TIM
567,1985-2-18,B-TIM
568,1990-10-19,B-TIM
569,2018-4-20,B-TIM
570,2003-12-24,B-TIM
571,2002-8-28,B-TIM
572,2014-12-1,B-TIM
573,2014-3-10,B-TIM
574,2018-12-2,B-TIM
575,1987-4-9,B-TIM
576,1991-6-23,B-TIM
577,1984-5-10,B-TIM
578,1980-2-20,B-TIM
579,1994-2-17,B-TIM
580,1999-12-30,B-TIM
581,2019-3-14,B-TIM
582,1980-12-19,B-TIM
583,2001-7-26,B-TIM
584,2019-7-3,B-TIM
585,1991-4-8,B-TIM
586,1996-1-12,B-TIM
587,2015-3-9,B-TIM
588,2001-7-22,B-TIM
589,1988-2-30,B-TIM
590,1987-7-27,B-TIM
591,1984-10-13,B-TIM
592,2017-3-3,B-TIM
593,1997-1-21,B-TIM
594,1989-8-9,B-TIM
595,1990-12-18,B-TIM
596,2002-9-22,B-TIM
597,2015-11-25,B-TIM
598,1996-9-2,B-TIM
599,2006-9-18,B-TIM
600,1988-11-9,B-TIM
601,2008-7-25,B-TIM
602,1981-2-4,B-TIM
603,1987-11-28,B-TIM
604,2013-8-20,B-TIM
605,1994-1-23,B-TIM
606,2010-7-14,B-TIM
607,1994-5-30,B-TIM
608,1984-10-15,B-TIM
609,2020-2-25,B-TIM
610,2010-5-31,B-TIM
611,1993-8-17,B-TIM
612,1998-11-3,B-TIM
613,2020-1-10,B-TIM
614,2003-12-5,B-TIM
615,1986-3-2,B-TIM
616,2003-8-15,B-TIM
617,2017-6-7,B-TIM
618,1985-8-28,B-TIM
619,2001-7-26,B-TIM
620,2018-3-13,B-TIM
621,1999-4-22,B-TIM
622,1983-10-29,B-TIM
623,2008-9-8,B-TIM
624,1988-4-23,B-TIM
625,2014-8-4,B-TIM
626,1996-6-30,B-TIM
627,2006-2-2,B-TIM
628,2006-6-17,B-TIM
629,2007-11-24,B-TIM
630,2007-7-6,B-TIM
631,1991-1-3,B-TIM
632,1988-6-17,B-TIM
633,2011-3-27,B-TIM
634,1993-8-25,B-TIM
635,2012-10-20,B-TIM
636,1983-8-10,B-TIM
637,2010-11-15,B-TIM
638,1991-2-8,B-TIM
639,1985-9-5,B-TIM
640,2014-6-27,B-TIM
641,2008-5-24,B-TIM
642,2018-1-14,B-TIM
643,1984-7-20,B-TIM
644,1982-8-17,B-TIM
645,2005-10-20,B-TIM
646,1995-3-21,B-TIM
647,2017-4-24,B-TIM
648,2018-6-28,B-TIM
649,2004-3-4,B-TIM
650,1995-12-20,B-TIM
651,1986-4-29,B-TIM
652,1995-7-19,B-TIM
653,1980-2-15,B-TIM
654,2007-4-11,B-TIM
655,2010-5-16,B-TIM
656,2011-7-3,B-TIM
657,2006-9-20,B-TIM
658,1980-9-31,B-TIM
659,1987-5-11,B-TIM
660,2006-11-20,B-TIM
661,2008-2-4,B-TIM
662,1982-12-1,B-TIM
663,2008-8-22,B-TIM
664,2016-10-25,B-TIM
665,2013-1-25,B-TIM
666,2011-3-14,B-TIM
667,2001-11-26,B-TIM
668,1998-4-6,B-TIM
669,1983-10-4,B-TIM
670,1991-4-22,B-TIM
671,1993-1-7,B-TIM
672,1999-2-12,B-TIM
673,1981-11-20,B-TIM
674,2013-3-16,B-TIM
675,1992-11-13,B-TIM
676,1996-5-9,B-TIM
677,1985-9-11,B-TIM
678,2006-3-1,B-TIM
679,2000-7-9,B-TIM
680,1985-1-23,B-TIM
681,1998-4-15,B-TIM
682,1993-11-25,B-TIM
683,1986-2-9,B-TIM
684,2019-10-18,B-TIM
685,1991-4-7,B-TIM
686,1989-7-3,B-TIM
687,1990-7-27,B-TIM
688,2005-11-14,B-TIM
689,2019-7-23,B-TIM
690,1990-11-18,B-TIM
691,1995-12-14,B-TIM
692,1994-4-22,B-TIM
693,1985-9-26,B-TIM
694,2002-12-25,B-TIM
695,1998-12-15,B-TIM
696,1990-8-3,B-TIM
697,2015-9-3,B-TIM
698,1995-11-23,B-TIM
699,1993-6-6,B-TIM
700,2009-4-8,B-TIM
701,1988-3-7,B-TIM
702,2017-7-8,B-TIM
703,1980-1-8,B-TIM
704,2000-3-30,B-TIM
705,2012-9-7,B-TIM
706,1988-9-2,B-TIM
707,1980-1-16,B-TIM
708,2015-8-21,B-TIM
709,2004-1-1,B-TIM
710,1996-8-17,B-TIM
711,1984-10-13,B-TIM
712,1994-10-15,B-TIM
713,1986-9-15,B-TIM
714,2015-2-19,B-TIM
715,2004-6-28,B-TIM
716,1980-2-29,B-TIM
717,2013-1-12,B-TIM
718,2001-4-9,B-TIM
719,2011-4-18,B-TIM
720,2006-4-29,B-TIM
721,1981-7-11,B-TIM
722,1992-6-17,B-TIM
723,1990-8-4,B-TIM
724,1994-2-28,B-TIM
725,2007-8-22,B-TIM
726,2013-4-16,B-TIM
727,1989-4-29,B-TIM
728,1995-6-6,B-TIM
729,1998-7-24,B-TIM
730,1991-8-22,B-TIM
731,2015-8-11,B-TIM
732,1993-11-22,B-TIM
733,1986-5-14,B-TIM
734,2009-7-13,B-TIM
735,2006-6-17,B-TIM
736,1995-2-12,B-TIM
737,1994-12-20,B-TIM
738,1980-1-23,B-TIM
739,1996-10-14,B-TIM
740,1991-4-3,B-TIM
741,1980-5-31,B-TIM
742,2006-7-24,B-TIM
743,1998-8-19,B-TIM
744,1983-2-17,B-TIM
745,2010-8-26,B-TIM
746,2018-4-5,B-TIM
747,1981-8-27,B-TIM
748,1991-1-11,B-TIM
749,2000-5-15,B-TIM
750,2013-11-11,B-TIM
751,2017-6-31,B-TIM
752,1999-1-26,B-TIM
753,1999-12-8,B-TIM
754,2004-5-5,B-TIM
755,1994-7-8,B-TIM
756,2020-9-24,B-TIM
757,2008-6-5,B-TIM
758,2014-10-6,B-TIM
759,1990-11-6,B-TIM
760,1991-7-20,B-TIM
761,2000-8-26,B-TIM
762,2020-5-28,B-TIM
763,1980-3-11,B-TIM
764,2016-3-29,B-TIM
765,2001-3-16,B-TIM
766,2010-7-12,B-TIM
767,2009-5-1,B-TIM
768,1991-10-6,B-TIM
769,2016-5-7,B-TIM
770,2014-8-26,B-TIM
771,2013-1-31,B-TIM
772,2017-2-13,B-TIM
773,1994-1-8,B-TIM
774,2013-2-19,B-TIM
775,2011-2-16,B-TIM
776,1987-1-11,B-TIM
777,1996-2-30,B-TIM
778,1988-10-6,B-TIM
779,1989-4-11,B-TIM
780,2003-10-25,B-TIM
781,1990-3-19,B-TIM
782,2019-11-12,B-TIM
783,2014-4-2,B-TIM
784,2018-5-15,B-TIM
785,1991-3-16,B-TIM
786,2017-8-1,B-TIM
787,2016-4-28,B-TIM
788,2016-5-6,B-TIM
789,2011-7-2,B-TIM
790,2004-11-30,B-TIM
791,2017-12-28,B-TIM
792,2003-2-20,B-TIM
793,1983-4-31,B-TIM
794,1993-3-7,B-TIM
795,2010-3-8,B-TIM
796,2020-5-18,B-TIM
797,1994-11-20,B-TIM
798,1995-2-19,B-TIM
799,2010-8-15,B-TIM
800,1992-11-7,B-TIM
801,2017-9-27,B-TIM
802,1994-4-31,B-TIM
803,2020-9-22,B-TIM
804,1981-7-20,B-TIM
805,1989-7-28,B-TIM
806,2008-10-26,B-TIM
807,1986-5-11,B-TIM
808,2009-9-30,B-TIM
809,1985-1-12,B-TIM
810,2016-8-25,B-TIM
811,2017-5-1,B-TIM
812,1997-9-24,B-TIM
813,2018-3-12,B-TIM
814,2020-8-4,B-TIM
815,2013-3-6,B-TIM
816,2020-6-1,B-TIM
817,1996-11-27,B-TIM
818,2015-7-15,B-TIM
819,1994-6-21,B-TIM
820,1985-9-10,B-TIM
821,2003-2-21,B-TIM
822,1989-7-20,B-TIM
823,2011-10-29,B-TIM
824,2005-9-13,B-TIM
825,1985-5-9,B-TIM
826,1997-5-3,B-TIM
827,1997-12-12,B-TIM
828,1990-4-3,B-TIM
829,1983-10-29,B-TIM
830,1989-9-11,B-TIM
831,2002-9-20,B-TIM
832,2004-3-12,B-TIM
833,2015-6-2,B-TIM
834,1981-9-1,B-TIM
835,2006-9-17,B-TIM
836,2009-6-24,B-TIM
837,2013-6-31,B-TIM
838,2006-4-7,B-TIM
839,2014-4-24,B-TIM
840,1986-6-19,B-TIM
841,1995-12-12,B-TIM
842,2000-3-23,B-TIM
843,2011-5-3,B-TIM
844,2011-5-20,B-TIM
845,2015-6-11,B-TIM
846,1985-7-2,B-TIM
847,1981-11-24,B-TIM
848,2018-4-5,B-TIM
849,1998-6-26,B-TIM
850,2020-10-15,B-TIM
851,2014-5-15,B-TIM
852,2017-3-11,B-TIM
853,1994-5-29,B-TIM
854,2001-5-16,B-TIM
855,2019-2-25,B-TIM
856,2018-4-3,B-TIM
857,2003-4-17,B-TIM
858,1996-1-13,B-TIM
859,2016-11-13,B-TIM
860,1980-10-11,B-TIM
861,2014-6-24,B-TIM
862,1990-11-18,B-TIM
863,2004-4-23,B-TIM
864,1984-8-17,B-TIM
865,2007-9-26,B-TIM
866,1983-1-6,B-TIM
867,1990-9-23,B-TIM
868,1995-2-20,B-TIM
869,1983-4-1,B-TIM
870,1983-8-22,B-TIM
871,2007-9-3,B-TIM
872,1990-5-29,B-TIM
873,2016-8-17,B-TIM
874,1994-4-10,B-TIM
875,1991-5-9,B-TIM
876,2017-12-21,B-TIM
877,1985-8-4,B-TIM
878,2018-6-28,B-TIM
879,2007-4-22,B-TIM
880,1990-10-16,B-TIM
881,1980-5-26,B-TIM
882,2018-10-23,B-TIM
883,1995-11-19,B-TIM
884,1990-2-7,B-TIM
885,1987-2-8,B-TIM
886,1982-1-21,B-TIM
887,1998-9-10,B-TIM
888,2001-11-22,B-TIM
889,2001-5-9,B-TIM
890,1997-4-1,B-TIM
891,2010-5-6,B-TIM
892,1987-9-10,B-TIM
893,2007-3-8,B-TIM
894,1990-4-29,B-TIM
895,2004-12-13,B-TIM
896,1980-12-19,B-TIM
897,2003-6-12,B-TIM
898,2002-6-3,B-TIM
899,2008-11-25,B-TIM
900,1980-2-10,B-TIM
901,1994-4-29,B-TIM
902,1985-1-4,B-TIM
903,2004-8-22,B-TIM
904,2012-2-3,B-TIM
905,1981-12-22,B-TIM
906,2004-10-13,B-TIM
907,1981-7-6,B-TIM
908,1998-4-2,B-TIM
909,1998-4-30,B-TIM
910,2001-6-30,B-TIM
911,1995-10-31,B-TIM
912,2004-8-8,B-TIM
913,1981-12-5,B-TIM
914,1982-5-21,B-TIM
915,1986-9-11,B-TIM
916,2005-10-16,B-TIM
917,2014-11-3,B-TIM
918,1991-3-16,B-TIM
919,1982-9-7,B-TIM
920,2001-2-5,B-TIM
921,1985-11-12,B-TIM
922,1995-5-27,B-TIM
923,1999-11-1,B-TIM
924,2012-7-23,B-TIM
925,1992-4-7,B-TIM
926,1996-9-19,B-TIM
927,1999-2-12,B-TIM
928,2000-7-19,B-TIM
929,1997-3-29,B-TIM
930,1985-2-30,B-TIM
931,1994-4-14,B-TIM
